Location,Plot Number,Size,Floor,Accommodation,Possession,Price,Facing,Park Facing,Corner,,,,,,,,,,,
South City 1,K49,240 square feet,2nd Floor,3 BHK,2M,2.65 crores,SOUTHEAST,NO,NO,,,,,,,,,,,
South City 1,K49,240 square feet,3rd Floor,3 BHK,2M,2.65 crores,SOUTHEAST,NO,NO,,,,,,,,,,,
South City 1,K49,240 square feet,4th Floor,3 BHK,2M,2.7 crores,SOUTHEAST,NO,NO,,,,,,,,,,,
South City 1,K219,360 square feet,1st Floor,4 BHK,1M,3.75 crores,NORTHWEST,NO,NO,,,,,,,,,,,
South City 1,K219,360 square feet,2nd Floor,4 BHK,1M,3.65 crores,NORTHWEST,NO,NO,,,,,,,,,,,
South City 1,K219,360 square feet,3rd Floor,4 BHK,1M,3.65 crores,NORTHWEST,NO,NO,,,,,,,,,,,
South City 1,K219,360 square feet,4th Floor,4 BHK,1M,3.7 crores,NORTHWEST,NO,NO,,,,,,,,,,,
South City 1,N156,180 square feet,1st Floor,3 BHK,4M,1.8 crores,SOUTHEAST,NO,NO,,,,,,,,,,,
South City 1,N156,180 square feet,2nd Floor,3 BHK,4M,1.7 crores,SOUTHEAST,NO,NO,,,,,,,,,,,
South City 1,N156,180 square feet,3rd Floor,3 BHK,4M,1.7 crores,SOUTHEAST,NO,NO,,,,,,,,,,,
South City 1,N156,180 square feet,4th Floor,3 BHK,4M,1.75 crores,SOUTHEAST,NO,NO,,,,,,,,,,,
South City 1,B115,240 square feet,1st Floor,3 BHK,1M,2.5 crores,WEST,NO,NO,,,,,,,,,,,
South City 1,B115,240 square feet,4th Floor,3 BHK,1M,2.8 crores,WEST,NO,NO,,,,,,,,,,,
SECTOR 43,676,204 square feet,1st Floor,3 BHK,READY,1.8 crores,SOUTHWEST,YES,NO,,,,,,,,,,,
SECTOR 43,676,204 square feet,2nd Floor,3 BHK,READY,1.75 crores,SOUTHWEST,YES,NO,,,,,,,,,,,
SECTOR 43,676,204 square feet,3rd Floor,3 BHK,READY,1.75 crores,SOUTHWEST,YES,NO,,,,,,,,,,,
SECTOR 43,676,204 square feet,4th Floor,3 BHK,READY,1.95 crores,SOUTHWEST,YES,NO,,,,,,,,,,,
